username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
njeri98,Mirie,https://twitter.com/Njeri98/status/1277842142803701760,"""This people should give @anky1912  a break she loved sush once and it doesn't mean because they broke up she didn't care about him she has moved on why torment her and her current partner just leave her alone #ankitalokahnde""",2020-06-29 22:51:00,3,,0,anky1912,1,ankitalokahnde,1,,
bollywoodmirro1,Bollywood Mirror,https://twitter.com/BollywoodMirro1/status/1274013815252844550,"""Kangana Ranaut tells Reason why Sushant committed Suicide
Full Video link-https",2020-06-19 09:18:00,2,,0,,0,,0,,
priyank80588321,Priyanka,https://twitter.com/Priyank80588321/status/1307650607096893445,"""Where is sara Ali Khan ??? 
Arrest her immediately...

JUSTICE FOR SUSHANT SINGH RAJPUT AND DISHA 🙏🏼
#SSRDishaHomicide… https",2020-09-20 04:59:00,2,5,1,,0,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiW1S2iUcAYyP2B.jpg
supriya9629,Supriya,https://twitter.com/Supriya9629/status/1307680137912049664,"""I see the PR winning!
Vibhor is spreading fake news to break our unity.

@Swamy39
 is the one who with 
@ishkarnBHANDARI
 made CBI possible in this case.

Stay united and be positive 

#ArrestVibhor
#SSRDishaHomicide… https",2020-09-20 06:56:00,83,104,10,Swamy39 | ishkarnBHANDARI,2,ArrestVibhor | SSRDishaHomicid,2,,https://pbs.twimg.com/media/EiXQJRGU0AAN5Un.jpg
tweetycutie18,Tweety,https://twitter.com/Tweetycutie18/status/1307722844458024960,"""Can we spam this?
#SSRDishaHomicide… """,2020-09-20 09:46:00,99,66,29,,0,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiX2_qaUMAIUH27.jpg
aatish_dkd,Candid Indian,https://twitter.com/aatish_dkd/status/1307741435312181251,"""Update —> ART OF DIVERSION FROM SSR CASE! 

Each media house is busy reporting and chasing RR but where is the real beef ! 

CBI TEAM IN NAGPUR! 

question is 
- who had sheltered RR in Nagpur?
- what CBI is digging in Nagpur? 

#SSRDishaHomicide 
#DontDivertFromSSRCase… https",2020-09-20 11:00:00,514,257,66,,0,SSRDishaHomicid | DontDivertFromS,2,,https://pbs.twimg.com/media/EiYH5uDWsAI8gdt.jpg | https://pbs.twimg.com/media/EiYH5t9WAAA7q4U.jpg
aarya4ssr,United for Sushant,https://twitter.com/aarya4SSR/status/1307657579045117952,"""On 8th June, Disha was thrown away from 14th floor. Think the pain what was she going through..

On 14th June, SSR was beaten, his legs were broken, needles sign around his neck. Think how hard he tried to save himself..

Dear SSRians, please roar Louder..

#SSRDishaHomicide… https",2020-09-20 05:27:00,148,160,4,,0,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiW7oaVUYAAfClQ.jpg
imkgauravmishra,Gaurav Mishra,https://twitter.com/Imkgauravmishra/status/1307702613404680193,"""I am feeling pity & devastated on the people who are part of SSR justice movement & trending Arrest Dr. @Swamy39 trend.

Really shameful.

We need to retrospect & decide whether we are with fake sensation or are with justice!

Wake Up & Smell the coffee.

#SSRDishaHomicide""",2020-09-20 08:26:00,534,380,0,Swamy39,1,SSRDishaHomicid,1,,
shilpi_flyhigh,𝘍𝘭𝘺𝘩𝘪𝘨𝘩 ,https://twitter.com/Shilpi_Flyhigh/status/1307680754130997251,"""Don't be scared that Our Unity would be broken (",2020-09-20 06:59:00,804,651,42,,0,,0,,
iravitiwari,Ravi Tiwari Bihari,https://twitter.com/iRaviTiwari/status/1307707174072713216,"""Where all the evidences are directing towards murder angle den how come mumbai police declared two death as suicide without proper investigation ??

Fake narratives of suicidal theory was intentionally spread to hide the real truth behind the two murders.

#SSRDishaHomicide""",2020-09-20 08:44:00,"1,191",704,56,,0,SSRDishaHomicid,1,,
